Brand_Partner,Offer_Detail,Platform,Redemption_Type
PrettyLittleThing,Up to 30% off almost everything + Extra 12% Student Discount,Student Beans,online at PrettyLittleThing
Boots,10% Student Discount with Boots Advantage Card,Student Beans,online at Boots
SHEIN,15% Student Discount,Student Beans,online at SHEIN
LOOKFANTASTIC,20% Student Discount,Student Beans,online at LOOKFANTASTIC
Superdrug,10% Student discount,Student Beans,instore at Superdrug
CultBeauty,20% Student Discount,Student Beans,online at CultBeauty
LullaBellz,25% off Full Priced Synthetics,Student Beans,online at LullaBellz
e.l.f.Cosmetics,15% Student Discount,Student Beans,online at e.l.f.Cosmetics
OliverBonas,10% Student Discount,Student Beans,online at OliverBonas
CharlotteTilbury,15% Student Discount,Student Beans,online at CharlotteTilbury
OliverBonas,10% Student Discount,Student Beans,instore at OliverBonas
Wild,15% Student Discount,Student Beans,online at Wild
RevolutionBeauty,10% Student Discount,Student Beans,online at RevolutionBeauty
allbeauty,10% Student Discount,Student Beans,online at allbeauty
Claire's,15% Student Discount,Student Beans,online at Claire's
LOOKFANTASTIC,Beauty Box Subscription,Student Beans,online at LOOKFANTASTIC
TheBodyShop,15% Student Discount,Student Beans,online at TheBodyShop
ghd,20% Student Discount,Student Beans,online at ghd
Shark,10% Student Discount,Student Beans,online at Shark
YesStyle,15% Student Discount,Student Beans,online at YesStyle
JSHealthVitamins,18% Student Discount,Student Beans,online at JSHealthVitamins
NotedAromas,15% Student Discount,Student Beans,online at NotedAromas
SalonServices,25% Student Discount,Student Beans,online at SalonServices
FacetheFuture,10% Student Discount,Student Beans,online at FacetheFuture
BeautyBase,10% Student Discount,Student Beans,online at BeautyBase
Clinique,15% Student Discount,Student Beans,online at Clinique
FFS,20% Off Sustainable Shaving Deliveries,Student Beans,online at FFS
NIP+FAB,15% Student Discount,Student Beans,online at NIP+FAB
Rose&Caramel,25% Student Discount,Student Beans,online at Rose&Caramel
BPerfectCosmetics,20% Student Discount,Student Beans,online at BPerfectCosmetics
YSLBeauty,15% Off + Free Delivery,Student Beans,online at YSLBeauty
EsteeLauder,10% Student Discount,Student Beans,online at EsteeLauder
GiveMeCosmetics,15% Student Discount,Student Beans,online at GiveMeCosmetics
GlowHub,15% Student Discount,Student Beans,online at GlowHub
WAHL,15% Student Discount,Student Beans,online at WAHL
ElizabethArden,20% Student Discount,Student Beans,online at ElizabethArden
Shark,20% Off Shark Anti Hair Wrap Cordless Pet Vacuum,Student Beans,online at Shark
Braun,15% Student Discount on RRP,Student Beans,online at Braun
Fresh,10% Student Discount,Student Beans,online at Fresh
SKINSIDER,15% Student Discount,Student Beans,online at SKINSIDER
Foreo,15.5% Student Discount,Student Beans,online at Foreo
Clarins,10% Student Discount,Student Beans,online at Clarins
Avon,20% Student Discount,Student Beans,online at Avon
HairChoice,20% off the Clips and Accessories,Student Beans,online at HairChoice
BeautyPie,10% Student Discount,Student Beans,online at BeautyPie
LOOKFANTASTIC,22% off Laura Mercier Translucent Loose Setting Powder,Student Beans,online at LOOKFANTASTIC
LOOKFANTASTIC,22% off Kérastase Elixir Ultime L'Original Hair Oil 100ml,Student Beans,online at LOOKFANTASTIC
CollectionCosmetics,25% Student Discount,Student Beans,online at CollectionCosmetics
BenefitCosmetics,10% Student Discount,Student Beans,online at BenefitCosmetics
BondiSands,25% Student Discount,Student Beans,online at BondiSands
ICONICLondon,10% Student Discount,Student Beans,online at ICONICLondon
GlossyBox,1st box for £11 and a free GLOSSYBOX water bottle,Student Beans,online at GlossyBox
LOOKFANTASTIC,22% off La Roche-Posay Effaclar Duo Plus 40ml,Student Beans,online at LOOKFANTASTIC
LOOKFANTASTIC,22% off LANEIGE Lip Sleeping Mask - Berry,Student Beans,online at LOOKFANTASTIC
Kiehl's,10% Student Discount,Student Beans,online at Kiehl's
SallyBeauty,15% Student Discount,Student Beans,online at SallyBeauty
LottieLondon,10% off all products,Student Beans,online at LottieLondon
NailPolishDirect,10% Student Discount,Student Beans,online at NailPolishDirect
BobbiBrown,15% Student Discount,Student Beans,online at BobbiBrown
LOOKFANTASTIC,22% off Color Wow Raise the Root Spray,Student Beans,online at LOOKFANTASTIC
NewSeasons,15% Student Discount,Student Beans,online at NewSeasons
SpectrumOneHair,15% OFF | + 20% OFF Get Glam Clip Ins,Student Beans,online at SpectrumOneHair
Origins,20% Student Discount,Student Beans,online at Origins
VIEVE,10% Student Discount,Student Beans,online at VIEVE
UlikeUKShop,£110 off from the total price,Student Beans,online at UlikeUKShop
LOOKFANTASTIC,22% off La Roche-Posay Anthelios Anti-Shine Sun Protection,Student Beans,online at LOOKFANTASTIC
AvantSkincare,£20 off on all full priced products + FREE 10ml gift,Student Beans,online at AvantSkincare
LOOKFANTASTIC,22% off La Roche-Posay Anthelios UVMune 400,Student Beans,online at LOOKFANTASTIC
StarfaceWorld,Get 15% Off Your First Order + 5% Off All Future Orders,Student Beans,online at StarfaceWorld
Neal&Wolf,20% Student Discount,Student Beans,online at Neal&Wolf
Naturisimo,10% Student Discount,Student Beans,online at Naturisimo
Shiseido,15% Student Discount,Student Beans,online at Shiseido
SaksHair&Beauty,Up to 20% Student Discount,Student Beans,online at SaksHair&Beauty
TooFaced,15% Student Discount,Student Beans,online at TooFaced
NUXE,10% Student Discount,Student Beans,online at NUXE
TheBodyShop,15% Off Skincare for Students,Student Beans,online at TheBodyShop
47Skin,10% Student Discount,Student Beans,online at 47Skin
GrowGorgeous,25% Student Discount,Student Beans,online at GrowGorgeous
LOOKFANTASTIC,22% off Dr.Jart+ Cicapair Tiger Grass Color Correcting Treatment,Student Beans,online at LOOKFANTASTIC
SkinnyTan,15% Student Discount,Student Beans,online at SkinnyTan
SculptedByAimee,15% Student Discount,Student Beans,online at SculptedByAimee
RENCleanSkincare,15% Student Discount,Student Beans,online at RENCleanSkincare
TheBodyShop,15% Off Haircare for Students,Student Beans,online at TheBodyShop
Aveda,15% Student Discount,Student Beans,online at Aveda
LOOKFANTASTIC,22% off Weleda Skin Food 75ml - Light,Student Beans,online at LOOKFANTASTIC
HairChoice,5% off the Human Hair,Student Beans,online at HairChoice
GlamTouch,10% Student Discount,Student Beans,online at GlamTouch
Nourished,10% Student Discount,Student Beans,online at Nourished
Dr.Jart+,10% Student Discount,Student Beans,online at Dr.Jart+
LOOKFANTASTIC,22% off Elemis Pro-Collagen Cleansing Balm 100g,Student Beans,online at LOOKFANTASTIC
DayLewisPharmacy,20% Student Discount,Student Beans,instore at DayLewisPharmacy
BumbleandBumble,15% Student Discount,Student Beans,online at BumbleandBumble
UmbertoGiannini,20% Student Discount,Student Beans,online at UmbertoGiannini
LOOKFANTASTIC,Unlimited Express Delivery for 12 months only £9.90,Student Beans,online at LOOKFANTASTIC
LOOKFANTASTIC,22% off ICONIC London Prep-Set-Glow Mini,Student Beans,online at LOOKFANTASTIC
Noughty,10% off products,Student Beans,online at Noughty
MySkinSpaClinic,£65 Student Discount,Student Beans,online at MySkinSpaClinic
VenusBeautyClinic,10% Student Discount,Student Beans,online at VenusBeautyClinic
VisageBeauty,10% Student Discount,Student Beans,online at VisageBeauty
FaithLaser,10% Student Discount,Student Beans,instore at FaithLaser
NOGUNK,20% Student Discount,Student Beans,online at NOGUNK
MioSkincare,60% off at Mio Skincare PLUS an extra 15% off,Student Beans,online at MioSkincare
MoltonBrown,10% Student Discount,Student Beans,online at MoltonBrown
PureSpa&Beauty,20% Student Discount,Student Beans,online at PureSpa&Beauty
Tarte,15% Student Discount,Student Beans,online at Tarte
TheTanningLounge,20% Student Discount,Student Beans,online at TheTanningLounge
AnastasiaBeverlyHills,15% Student Discount,Student Beans,online at AnastasiaBeverlyHills
INGLOT,10% Student Discount,Student Beans,online at INGLOT
111SKIN,13% Student Discount,Student Beans,online at 111SKIN
MagnitoneLondon,20% OFF Everything,Student Beans,online at MagnitoneLondon
TULA,25% Student Discount,Student Beans,online at TULA
St.Moriz,25% Student Discount,Student Beans,online at St.Moriz
UpCircleBeauty,15% Student Discount,Student Beans,online at UpCircleBeauty
Ameliorate,20% Student Discount,Student Beans,online at Ameliorate
Impress,£200 discount for invisible orthodontic treatment,Student Beans,online at Impress
TILTProfessionalMakeup,10% Student Discount,Student Beans,online at TILTProfessionalMakeup
ESPA,15% Student Discount,Student Beans,online at ESPA
KHHairBeeston,15% Student Discount,Student Beans,online at KHHairBeeston
Alpha-H,10% Student Discount,Student Beans,online at Alpha-H
BellisimosHair,20% Student Discount,Student Beans,online at BellisimosHair
AspireHairdressing&Beauty,25% Student Discount,Student Beans,online at AspireHairdressing&Beauty
GlamourGarage,20% Student Discount,Student Beans,online at GlamourGarage
RMUK,Up to 20% Student Discount,Student Beans,online at RMUK
PureBeauty,20% Student Discount,Student Beans,online at PureBeauty
Illamasqua,20% Student Discount,Student Beans,online at Illamasqua
GentlemansFade,20% Student Discount,Student Beans,instore at GentlemansFade
TheOudCompany,20% Student Discount,Student Beans,online at TheOudCompany
SOSUbySJ,15% Student Discount,Student Beans,online at SOSUbySJ
ONESUMMERSKINCARE,18% Student Discount,Student Beans,online at ONESUMMERSKINCARE
SoleilTanning,10% Student Discount,Student Beans,online at SoleilTanning
SalonCentral,10% Student Discount,Student Beans,online at SalonCentral
GymForYourSkin,10% Student Discount,Student Beans,online at GymForYourSkin
MilliesBeautySalon,10% Student Discount ,Student Beans,online at MilliesBeautySalon
MiiNCosmetics,10% OFF on the entire website,Student Beans,online at MiiNCosmetics
MiiNCosmetics,20% OFF on selected TOP products,Student Beans,online at MiiNCosmetics
PearlLaser&Beautyclinic,10% Student Discount,Student Beans,online at PearlLaser&Beautyclinic
NAAMA,10% Student Discount,Student Beans,online at NAAMA
WowYouBeauty,10% Student Discount,Student Beans,online at WowYouBeauty
NKDWaxing,10% Student Discount,Student Beans,online at NKDWaxing
AmourBeaute',10% Student Discount,Student Beans,online at AmourBeaute'
POREFAVOR,15% Student Discount,Student Beans,online at POREFAVOR
PrincessNails&Beauty,10% Student Discount ,Student Beans,online at PrincessNails&Beauty
EsteemBeauty,20% Student Discount,Student Beans,online at EsteemBeauty
AvocadoBeauty,10% Student Discount,Student Beans,online at AvocadoBeauty
BLEUBeauty&Wellness,20% Student Discount,Student Beans,online at BLEUBeauty&Wellness
PassionHair&Beauty,20% Student Discount,Student Beans,online at PassionHair&Beauty
EdinburghBeautySalon,10% Student Discount,Student Beans,online at EdinburghBeautySalon
AestheticsSolihull,15% Student Discount,Student Beans,online at AestheticsSolihull
Sunaura,Up to 40% Student Discount,Student Beans,online at Sunaura
Florasis,Up to 10% Student Discount,Student Beans,online at Florasis
TheBodyShop,15% Off Makeup for Students,Student Beans,online at TheBodyShop
TheBeautyStore,10% Student Discount,Student Beans,online at TheBeautyStore
Crabtree&Evelyn,10% Student Discount,Student Beans,online at Crabtree&Evelyn
BOLDKING,25% Student Discount,Student Beans,online at BOLDKING
MiiNCosmetics,15% OFF for new customers,Student Beans,online at MiiNCosmetics
Coréelle,10% Student Discount,Student Beans,online at Coréelle
